 19935  528.07 2687.19 99.999  9.999 18.646   0   0 9.999 1015   4 0.114
 19936  503.94 2682.71 99.999  9.999 19.505   0   0 9.999 1012   1 0.184
 19940  410.44 2684.08 21.547  2.567 18.980  75   0 0.250 1007   1 0.088
 19941  391.50 2682.98 21.739  2.598 19.142  71   0 0.314 1018   1 0.123
 19942  418.36 2684.55 20.809  1.860 18.948  80   0 0.155 1006   2 0.082
 19948  497.37 2686.63 22.044  2.988 19.057  70   0 0.384 1002   3 0.141
 19951  510.79 2690.08 21.609  2.633 18.976  75   0 0.227 1024   2 0.175
 19952  517.00 2688.96 21.180  2.158 19.022  77   0 0.184 1007   4 0.126
 19957  439.97 2691.74 21.059  1.976 19.084  75   0 0.168 1007   2 0.095
 19958  489.35 2691.72 21.681  2.558 19.123  78   0 0.270 1006   3 0.128
 19960  396.62 2692.70 21.012  1.946 19.066  75   0 0.158 1010   2 0.094
 19963  427.83 2694.19 21.393  2.337 19.057  76   0 0.223 1011   3 0.089
 19964  543.00 2694.53 21.274  2.394 18.880  75   0 0.205 1014   1 0.098
 19972  509.47 2699.17 99.999  9.999 17.835   0   0 9.999 1045   0 0.311
 19975  418.52 2700.65 21.288  2.601 18.687  77   0 0.161 1014   2 0.070
 19977  436.02 2701.18 21.799  2.538 19.261  74   0 0.268 1003   2 0.106
 19978  537.96 2701.07 99.999  9.999 18.911   0   0 9.999 1010   1 0.091
 19984  467.73 2703.73 21.566  2.196 19.370  76   1 0.259 1010   1 0.125
 19987  396.21 2705.28 21.232  2.401 18.832  76   0 0.214 1010   1 0.074
 19988  500.29 2703.40 21.768  3.513 18.255  75   0 0.306 1045   0 0.256
 19989  531.56 2704.53 21.538  2.323 19.215  77   0 0.240 1010   2 0.111
 19992  504.64 2704.86 99.999  9.999 18.632   0   0 9.999 1040   1 0.321
 20000  497.17 2707.53 99.999  9.999 18.499   0   0 9.999 1013   3 0.108
 20001  452.93 2708.86 21.461  2.315 19.146  74   0 0.213 1004   4 0.096
 20002  526.97 2710.59 21.244  2.597 18.647  75   0 0.204 1005   3 0.066
 20008  532.46 2713.39 21.592  2.315 19.277  75   0 0.225 1008   2 0.109
 20009  542.85 2714.65 20.835  2.300 18.535  78   0 0.144 1009   5 0.062
 20015  434.79 2716.40 21.227  2.502 18.725  71   0 0.170 1005   3 0.068
 20016  488.26 2715.89 21.507  2.342 19.165  75   0 0.263 1005   1 0.128
 20018  397.37 2716.40 21.320  2.389 18.932  74   1 0.188 1007   2 0.080
 20021  491.84 2720.21 21.221  2.280 18.941  77   0 0.194 1009   1 0.088
 20022  506.41 2718.54 21.627  2.069 19.558  77   0 0.263 1006   2 0.157
 20033  427.92 2725.87 21.420  2.385 19.035  74   1 0.207 1009   4 0.095
 20036  526.68 2726.87 21.194  2.538 18.657  72   0 0.189 1005   4 0.058
 20038  419.15 2726.72 21.483  1.994 19.489  76   0 0.254 1004   3 0.128
 20041  533.62 2728.19 21.398  2.220 19.177  73   0 0.267 1006   2 0.106
 20043  497.29 2730.27 21.454  2.483 18.971  72   0 0.233 1010   4 0.083
 20044  538.34 2730.54 21.547  2.477 19.070  73   0 0.233 1004   2 0.091
 20047  393.44 2733.38 20.914  2.326 18.587  76   0 0.156 1008   6 0.058
 20052  425.02 2735.81 99.999  9.999 19.426   0   0 9.999 1007   4 0.114
 20057  501.55 2737.57 21.058  2.303 18.755  73   0 0.167 1011   3 0.071
 20058  524.98 2735.92 21.177  2.549 18.628  74   0 0.181 1007   3 0.061
 20062  432.42 2736.53 21.321  2.355 18.967  79   0 0.229 1008   3 0.088
 20068  415.85 2740.02 99.999  9.999 19.485   0   0 9.999 1008   2 0.132
 20069  511.01 2741.41 21.325  2.233 19.092  75   0 0.190 1015   1 0.095
 20071  449.26 2741.44 21.453  1.870 19.584  73   0 0.202 1014   1 0.159
 20072  531.54 2742.10 21.234  1.866 19.368  77   0 0.184 1007   1 0.124
 20073  540.51 2743.25 21.341  2.293 19.048  73   0 0.208 1006   1 0.087
 20081  427.66 2745.89 21.057  2.000 19.058  75   0 0.192 1007   3 0.091
 20085  451.72 2748.87 21.965  2.417 19.547  77   0 0.411 1005   4 0.152
 20088  396.89 2751.05 20.842  2.036 18.806  75   0 0.128 1009   3 0.073
 20095  456.37 2753.85 21.576  2.424 19.151  74   0 0.323 1004   4 0.094
 20098  510.11 2758.45 21.465  2.065 19.400  74   0 0.235 1008   1 0.127
 20102  480.93 2758.86 21.353  2.470 18.883  77   0 0.214 1010   2 0.082
 20108  389.77 2763.83 21.677  2.485 19.192  74   0 0.292 1013   1 0.114
 20119  416.78 2767.31 20.599  1.895 18.704  75   0 0.098 1007   1 0.069
 20120  428.41 2767.39 21.218  1.966 19.252  75   0 0.233 1015   2 0.124
 20121  391.21 2767.97 21.345  2.091 19.254  78   0 0.228 1011   3 0.126
 20122  520.75 2768.29 99.999  9.999 19.062   0   0 9.999 1009   3 0.101
 20123  419.27 2773.90 99.999  9.999 19.533   0   0 9.999 1010   3 0.179
 20125  489.67 2771.32 20.443  1.724 18.719  77   0 0.100 1012   1 0.066
 20126  496.01 2771.26 21.382  2.238 19.145  78   0 0.195 1012   1 0.098
 20129  449.55 2771.77 99.999  9.999 19.269   0   0 9.999 1005   1 0.170
 20132  510.27 2773.13 21.429  1.632 19.797  79   0 0.238 1005   2 0.181
 20136  422.51 2776.62 20.929  2.141 18.788  78   0 0.175 1024   2 0.126
 20137  459.32 2774.20 21.963  2.443 19.521  76   0 0.376 1007   1 0.152
 20138  414.14 2776.97 21.229  2.464 18.764  76   0 0.196 1010   4 0.074
 20145  452.99 2779.62 20.984  1.930 19.054  76   0 0.156 1008   3 0.091
 20146  462.21 2780.90 20.857  1.976 18.881  75   0 0.133 1016   0 0.086
 20147  492.48 2779.48 21.281  2.050 19.232  75   0 0.189 1008   2 0.109
 20150  525.17 2781.33 21.213  2.244 18.969  73   0 0.158 1009   4 0.081
 20151  418.64 2779.07 21.108  2.142 18.966  78   1 0.192 1011   4 0.110
 20158  545.84 2786.76 21.757  2.541 19.216  74   0 0.351 1006   4 0.104
 20160  475.01 2786.61 21.430  1.763 19.667  77   0 0.204 1012   0 0.168
 20167  409.96 2790.39 21.031  2.156 18.875  75   0 0.161 1007   2 0.086
 20172  509.42 2792.02 21.623  2.194 19.430  78   0 0.284 1009   5 0.126
 20174  462.73 2794.48 21.539  2.351 19.189  75   0 0.265 1012   2 0.107
 20180  517.49 2798.78 20.861  2.035 18.826  74   0 0.151 1007   2 0.075
 20181  406.28 2798.71 21.037  2.195 18.842  76   0 0.162 1008   0 0.083
