FieldName,FieldID,CenterRA,CenterDec,Nepochs,Nused,SpatialCalibCoefs_1,SpatialCalibCoefs_2,SpatialCalibCoefs_3,SpatialCalibCoefs_4,SpatialCalibCoefs_5,SpatialCalibCoefs_6,PMCalibCoefs_1,PMCalibCoefs_2,PMCalibCoefs_3,PMCalibCoefs_4,PMCalibCoefs_5,PMCalibCoefs_6,KMTGAIAPMRSTDRA,KMTGAIAPMRSTDDec,MeanGaiaPlx,MeanGaiaPlxErr
BLG41,30,269.28167,-30.58958,14305,12945,-1.99875817301228e-06,1.80493243947569e-08,-2.58742953882545e-07,2.14879707092241e-06,4.70020241488193,-0.534175956318374,-269.645483589859,-52.5706865319232,63.6414599350487,203.711464578919,-2.23339436462968,-3.59455907466096,0.816881175372793,1.52311484939622,0.147669130632894,0.139452482909091
BLG01,31,269.03758,-30.47,15043,13329,-2.13529109500073e-06,-7.88227493526902e-08,3.6069725131035e-07,2.29452197210539e-06,4.69592253669597,-0.532103895494845,-525.910882591824,49.111133810639,177.336620697526,454.275259380826,-3.27288140088432,-5.14978778722675,0.721241902232872,0.570004101882991,0.300774395716756,0.151853397263158
BLG41,32,269.03758,-30.46993,14462,13086,-2.1966910354522e-06,9.07826921331599e-09,2.06919873246109e-07,1.97459037585631e-06,4.69594357835515,-0.532074125229661,-427.236826372441,4.55164258041167,6.16319262100018,416.637159261669,-2.32443329589793,-5.0870951560879,0.9633319015675,0.448817126250162,0.30179737160094,0.133286739
BLG01,33,268.79921,-30.107045,14778,13106,-3.54830728763007e-07,3.9594668657548e-08,-2.27012527410409e-07,2.85769229004051e-06,4.69152070337504,-0.525913222716302,-47.2689032783345,-101.608761861933,-123.079997707494,72.4053928154159,-0.667061866257589,-1.74789190945186,2.96213469488142,1.75255047809964,0.185342663105021,0.123525127032258
BLG42,34,268.79921,-30.10697,14287,12802,-1.16041275118925e-06,1.48673226249705e-07,-6.65395012917395e-08,2.89848207712897e-06,4.69163052168189,-0.525965397864012,-215.48969312943,-121.863105154411,-210.394707833573,323.110234368045,-1.64367999473646,-5.62437580842797,2.82960440575365,3.22515342870475,0.0580140425430914,0.130533513612903
BLG01,35,268.67196,-30.81075,14699,13026,-2.22861406370692e-06,-2.83201886540216e-08,1.35040458126641e-07,2.01805041231709e-06,4.68954014555944,-0.538033005981059,-351.217400241035,72.4507124972468,-62.3026304608504,372.130378156727,-1.95564702058072,-4.92990999097957,0.776421456329877,0.819311300086312,0.228942227648248,0.113500639828571
BLG41,36,268.672,-30.81047,14219,12862,-2.19550810640871e-06,-1.09254004184513e-09,-2.78138794557833e-09,1.93291905997773e-06,4.68955891012039,-0.538024323247207,-249.246203692594,-36.1186458299307,26.6206862105096,266.556574294011,-1.96592213414905,-4.99553323127268,1.22650454152172,0.631940520170925,0.13534940465458,0.120691115764706
BLG01,37,269.56456,-31.794045,15065,13349,5.40781760668553e-07,1.84159048224481e-07,-1.63290893327319e-07,3.53127763362869e-06,4.70471127334099,-0.555475297187816,-418.612796582227,21.7793503870201,39.5395074490237,334.47973226159,-2.84703674562233,-5.19540160959476,1.06394570197362,1.41804879776527,0.12217313771253,0.102529504305556
BLG41,38,269.56456,-31.79403,14468,13093,-2.26824247156942e-06,-4.26932854323294e-08,7.26827191737664e-08,1.9252085282916e-06,4.70512514821586,-0.555200865602502,-407.219045104345,-8.36568341606361,1.98328560091543,404.54122633539,-2.76735161906324,-5.14176732052696,0.392518791164873,0.564422006765225,0.154734793900565,0.105413581789474
BLG02,39,269.01014,-28.064315,15200,13180,-2.05474339249057e-06,3.31617982190732e-08,-2.01427215761287e-07,2.0748578177121e-06,4.69542155699432,-0.490133517228524,-409.052961049017,0.176753182681858,-17.7943237572504,388.422907684713,-2.50445309257966,-4.85306542908916,0.833074963383121,0.626244952305692,0.206227840540551,0.100156768655738
BLG42,40,269.50696,-29.63611,14837,13309,-1.22358375969676e-06,-3.42065022862845e-08,4.46106809794478e-07,2.00952077878546e-06,4.70396008749348,-0.517558810493651,-135.675179908345,-20.9926063810346,36.6302855363148,135.954693768802,0.346224988012325,-4.39787095284087,1.55879189627429,0.856610883987897,0.16994056290834,0.112234781625
